Team1,Team2,Game Date,W/L
OKC,MIL,04/17/2013,L
LAC,SAC,04/17/2013,W
SAC,LAC,04/17/2013,L
MIN,SAS,04/17/2013,W
SAS,MIN,04/17/2013,L
DAL,NOH,04/17/2013,W
GSW,POR,04/17/2013,W
WAS,CHI,04/17/2013,L
CHI,WAS,04/17/2013,W
BOS,TOR,04/17/2013,L
TOR,BOS,04/17/2013,W
MIL,OKC,04/17/2013,W
LAL,HOU,04/17/2013,W
UTA,MEM,04/17/2013,L
DEN,PHX,04/17/2013,W
PHX,DEN,04/17/2013,L
ATL,NYK,04/17/2013,L
NYK,ATL,04/17/2013,W
ORL,MIA,04/17/2013,L
NOH,DAL,04/17/2013,L
MEM,UTA,04/17/2013,W
CLE,CHA,04/17/2013,L
MIA,ORL,04/17/2013,W
DET,BKN,04/17/2013,L
BKN,DET,04/17/2013,W
HOU,LAL,04/17/2013,L
PHI,IND,04/17/2013,W
CHA,CLE,04/17/2013,W
IND,PHI,04/17/2013,L
POR,GSW,04/17/2013,L
POR,LAC,04/16/2013,L
LAC,POR,04/16/2013,W
ATL,TOR,04/16/2013,L
TOR,ATL,04/16/2013,W
BOS,IND,04/16/2013,
IND,BOS,04/16/2013,
SAC,OKC,04/15/2013,L
OKC,SAC,04/15/2013,W
DET,PHI,04/15/2013,W
MIA,CLE,04/15/2013,W
BKN,WAS,04/15/2013,W
GSW,SAS,04/15/2013,W
CLE,MIA,04/15/2013,L
MEM,DAL,04/15/2013,W
DAL,MEM,04/15/2013,L
WAS,BKN,04/15/2013,L
PHI,DET,04/15/2013,L
SAS,GSW,04/15/2013,L
ORL,CHI,04/15/2013,L
MIL,DEN,04/15/2013,L
HOU,PHX,04/15/2013,L
PHX,HOU,04/15/2013,W
DEN,MIL,04/15/2013,W
CHA,NYK,04/15/2013,W
CHI,ORL,04/15/2013,W
NYK,CHA,04/15/2013,L
UTA,MIN,04/15/2013,W
MIN,UTA,04/15/2013,L
LAL,SAS,04/14/2013,W
